Time[ms] CO2[ppm] O2[bar] P[bar] T[C]
4045 400.00 204.50 978.00 28.80
4703 400.00 204.50 978.00 28.80
5360 370.00 204.50 978.00 28.80
6027 370.00 204.50 978.00 28.80
6694 370.00 204.50 978.00 28.80
7352 380.00 204.50 978.00 28.80
8010 370.00 204.50 978.00 28.90
8667 360.00 204.50 978.00 28.90
9326 330.00 204.50 978.00 28.90
9983 330.00 204.60 978.00 28.80
10642 340.00 204.60 978.00 28.80
11303 340.00 204.60 978.00 28.80
11965 340.00 204.60 978.00 28.90
12627 340.00 204.60 978.00 28.80
13289 360.00 204.60 978.00 28.80
13954 370.00 204.60 978.00 28.90
14616 390.00 204.60 978.00 28.80
15282 380.00 204.60 978.00 28.80
15947 380.00 204.60 978.00 28.80
16609 360.00 204.60 978.00 28.90
17279 350.00 204.60 978.00 28.90
17949 350.00 204.60 978.00 28.80
18610 360.00 204.60 978.00 28.90
19280 360.00 204.60 978.00 28.90
19950 350.00 204.60 978.00 28.80
20611 340.00 204.60 978.00 28.80
21280 350.00 204.50 978.00 28.90
21951 350.00 204.60 978.00 28.90
22612 350.00 204.60 978.00 28.90
23282 360.00 204.50 978.00 28.90
23952 360.00 204.60 978.00 28.80
24616 360.00 204.60 978.00 28.80
25284 350.00 204.60 978.00 28.90
25953 340.00 204.60 978.00 28.80
26614 350.00 204.60 978.00 28.80
27283 370.00 204.60 978.00 28.90
27953 380.00 204.60 978.00 28.80
28616 370.00 204.60 978.00 28.80
29286 360.00 204.60 978.00 28.80
29956 360.00 204.60 978.00 28.90
30618 360.00 204.60 978.00 28.90
31288 340.00 204.60 978.00 28.90
31958 340.00 204.60 978.00 28.80
32620 340.00 204.60 978.00 28.80
33290 340.00 204.70 978.00 28.80
33960 340.00 204.70 978.00 28.90
34625 330.00 204.70 978.00 28.90
35293 310.00 204.70 978.00 28.90
35961 300.00 204.70 978.00 28.90
36623 300.00 204.70 978.00 28.90
37292 310.00 204.70 978.00 28.90
37961 300.00 204.70 978.00 28.90
38623 290.00 204.70 978.00 28.90
39292 310.00 204.70 978.00 28.90
39961 310.00 204.70 978.00 28.90
40623 320.00 204.70 978.00 28.90
41293 340.00 204.70 978.00 28.90
41962 350.00 204.70 978.00 28.90
42624 340.00 204.70 978.00 28.90
43294 340.00 204.70 978.00 28.90
43964 340.00 204.70 978.00 28.90
44626 340.00 204.70 978.00 28.90
45297 340.00 204.70 978.00 28.90
45965 340.00 204.70 978.00 28.90
46627 340.00 204.70 978.00 28.90
47296 340.00 204.70 978.00 28.90
47966 340.00 204.70 978.00 28.90
48628 340.00 204.70 978.00 28.90
49297 350.00 204.70 978.00 28.90
49966 350.00 204.70 978.00 28.90
50627 340.00 204.80 978.00 28.90
51297 350.00 204.80 978.00 28.80
51966 340.00 204.80 978.00 28.80
52628 340.00 204.80 978.00 28.80
53290 350.00 204.80 978.00 28.90
53951 370.00 204.80 978.00 28.90
54613 360.00 204.70 978.00 28.90
55278 360.00 204.80 978.00 28.90
55940 360.00 204.80 978.00 28.90
56602 360.00 204.80 978.00 28.90
57264 360.00 204.80 978.00 28.90
57926 370.00 204.80 978.00 28.90
58588 380.00 204.80 978.00 28.80
59250 380.00 204.80 978.00 28.90
59911 390.00 204.80 978.00 28.90
60574 400.00 204.80 978.00 28.90
61235 400.00 204.80 978.00 28.90
61898 400.00 204.80 978.00 28.90
62559 410.00 204.80 978.00 28.80
63222 410.00 204.80 978.00 28.90
63883 410.00 204.80 978.00 28.90
64545 400.00 204.80 978.00 28.90
65207 400.00 204.80 978.00 28.80
65872 380.00 204.80 978.00 28.80
66534 360.00 204.80 978.00 28.80
67194 360.00 204.80 978.00 28.80
67856 360.00 204.70 978.00 28.90
68518 360.00 204.70 978.00 28.90
69179 360.00 204.70 978.00 28.90
69840 340.00 204.70 978.00 28.90
70502 350.00 204.70 978.00 28.90
71164 350.00 204.70 978.00 28.90
71828 360.00 204.70 978.00 28.90
72492 360.00 204.70 978.00 28.90
73154 350.00 204.70 978.00 28.90
73824 340.00 204.70 978.00 28.90
74494 340.00 204.70 978.00 28.90
75156 340.00 204.70 978.00 28.90
75826 350.00 204.70 978.00 28.90
76494 360.00 204.70 978.00 28.80
77156 350.00 204.70 978.00 28.80
77826 340.00 204.80 978.00 28.90
78496 340.00 204.80 978.00 28.90
